genes	enzymes	shortNames	MWs	actions	k_scores	OE	minUsage	maxUsage	pUsage	foldChange	unique	conectivity	groups	priority
YOR095C	Q12189	RKI1	28.25777	OE	2.87513607618495	2	5.04943931504828e-06	5.08665804060458e-06	5.07100444109099e-06	1.00074492403139	1	2	0	1
YLR044C	P06169	PDC1	61.49468	OE	2.84048395726367	2	4.17728073197811e-07	4.20385069030261e-07	4.18957298941076e-07	1.00013341642863	1	17	0	1
YNR001C	P00890	CIT1	53.35945	OE	2.82128291656118	2	5.4415185201674e-07	7.60760148069884e-07	7.59566578569592e-07	1.00020963232784	1	7	0	1
YGL062W	P11154	PYC1	130.09827	OE	2.41452849463093	2	1.02685001297098e-06	2.46865731862798e-06	2.4535756238107e-06	1.00174377747866	1	8	0	1
YAL038W	P00549	CDC19	54.54404	OE	2.37005997540444	2	1.86466720173596e-06	2.01474682305125e-06	2.01385448071868e-06	1.00056673796228	1	6	0	1
YGR254W	P00924	ENO1	46.81564	OE	2.20621732764662	2	1.85326956442494e-06	2.05128200817606e-06	2.0492419422349e-06	1.00049511363087	1	5	0	1
YOR283W	Q12040	YOR283W	26.17622	OE	2.20621732764635	2	5.58753465491391e-07	5.69521516162221e-07	5.6582241931315e-07	1.00007728419882	1	4	0	1
YCR012W	P00560	PGK1	44.73787	OE	1.17090531042208	2	8.87147603913694e-07	8.89583039318927e-07	8.87427605070941e-07	1.00020547852944	1	4	0	1
YJL052W	P00360	TDH1	35.74956	OE	1.17090531042208	2	1.64182213226997e-05	1.64305420778678e-05	1.64234032348788e-05	1.00302671709475	1	8	0	1
YDR050C	P00942	TPI1	26.79508	OE	1.06805074618861	2	2.48783396316628e-08	2.85041205118868e-08	2.4882346465702e-08	1.00000443385074	1	2	0	1
YMR205C	P16862	PFK2	104.61673	OE	1.06130862960122	2	6.0165360084186e-07	6.05424004568937e-07	6.04844097573754e-07	1.00032689123186	1	9	0	1
YDR516C	Q04409	EMI2	55.92028	OE	1.00067214191613	2	1.85769898556732e-07	1.86188254037738e-07	1.8618e-07	1.00005462529589	1	4	0	1
YBR263W	P37292	SHM1	53.68589	deletion	0	0	0	1.80810128900838e-09	0	1.00000099999093	1	5	0	1
YCL040W	P17709	GLK1	55.37689	deletion	0	0	0	2.15204335016159e-09	0	1.00000099999092	1	6	0	1
YLR446W	Q06204	YLR446W	48.96875	deletion	0	0	0	1.98481442801855e-09	0	1.00000099996507	1	20	0	1
YMR241W		YHM2	NaN	deletion	0	0	0	0	0	1.00000099999092	1	4	0	1
YMR246W	P47912	FAA4	77.26612	deletion	0	0	0	1.32258354814477e-09	0	1.000001000001	1	48	0	1
YBR221C	P32473	PDB1	40.0532	OE	3.57854793001231	2	3.50680716295791e-06	3.52211883736161e-06	3.5197062482827e-06	1.00072746311931	0	6	1	2
YAL044C	P39726	GCV3	18.79276	deletion	0	0	0	1.80034718017122e-11	0	1.000001000001	0	18	2	2
YDR148C	P19262	KGD2	50.43011	deletion	0	0	0	6.13277575404066e-10	0	1.000001000001	0	11	3	2
YER070W	P21524	RNR1	99.56021	deletion	0	0	0	9.85526629351988e-10	0	1.00000099999092	0	24	4	2
YFR053C	P04806	HXK1	53.73784	deletion	0	0	0	2.23311227596491e-09	0	1.000001000001	0	12	5	2
YGL253W	P04807	HXK2	53.9419	deletion	0	0	0	1.97323445979573e-09	0	1.00000100000099	0	12	5	2
YGR180C	P49723	RNR4	40.05407	deletion	0	0	0	2.48952831896872e-09	0	1.00000099999093	0	24	4	2
YJL026W	P09938	RNR2	46.14681	deletion	0	0	0	2.15310006103247e-09	0	1.000001000001	0	24	4	2
